assertion_id,batch_id,confidence,jurisdiction_id,normalized_status,notes,object_type,object_value,observed_text,predicate,source_id,source_locator,subject_id,subject_type
asrt-co-alma-mayor-term,CO-NORM-002,HIGH,jurisdiction-co-alma,NORMALIZED,Exact term end date is not inferred.,NUMBER,4,The 2026 Elections page identifies the Mayor term as four years.,term_length_years,src-co-alma-elections,2026 Elections,office-co-alma-mayor,Office
asrt-co-alma-reduced-board,CO-NORM-002,HIGH,jurisdiction-co-alma,NORMALIZED,Five total elected seats normalized.,TEXT,Mayor plus four Trustees,"The 2026 election reduced the Board from six to four Trustees, effective with the April 7, 2026 municipal election.",elected_composition,src-co-alma-elections,2026 election / Ballot Question 1,body-co-alma-board-of-trustees,Body
asrt-co-alma-term-andrew-zimmerman,CO-NORM-002,HIGH,jurisdiction-co-alma,NORMALIZED,Exact swearing/start/end dates left blank.,DATE,2026-04-07,Certified 2026 result elected Andrew E. Zimmerman Trustee.,selection_date,src-co-alma-elections,2026 Final Official Election Results,role-co-alma-trustee-andrew-zimmerman,RoleTerm
asrt-co-alma-term-bob-kassel,CO-NORM-002,HIGH,jurisdiction-co-alma,NORMALIZED,Exact swearing/start/end dates left blank.,DATE,2026-04-07,Certified 2026 result elected Robert H. Kassel Mayor.,selection_date,src-co-alma-elections,2026 Final Official Election Results,role-co-alma-mayor-bob-kassel,RoleTerm
asrt-co-alma-term-cody-lefever,CO-NORM-002,HIGH,jurisdiction-co-alma,NORMALIZED,Exact swearing/start/end dates left blank.,DATE,2026-04-07,Certified 2026 result elected Cody Lefever Trustee through write-in results.,selection_date,src-co-alma-elections,2026 Final Official Election Results,role-co-alma-trustee-cody-lefever,RoleTerm
asrt-co-alma-term-ian-greene,CO-NORM-002,HIGH,jurisdiction-co-alma,NORMALIZED,Selection date intentionally blank.,TEXT,CONTINUING_2_YEAR_POSITION,The 2026 Elections page lists Ian Green as Trustee (2 years) in the board-reduction transition; it does not establish a new 2026 election selection date for him.,transition_status,src-co-alma-elections,2026 Elections,role-co-alma-trustee-ian-greene,RoleTerm
asrt-co-alma-term-paul-greguoli,CO-NORM-002,HIGH,jurisdiction-co-alma,NORMALIZED,Exact swearing/start/end dates left blank.,DATE,2026-04-07,Certified 2026 result elected Paul Greguoli Trustee.,selection_date,src-co-alma-elections,2026 Final Official Election Results,role-co-alma-trustee-paul-greguoli,RoleTerm
asrt-co-alma-trustee-scope,CO-NORM-002,HIGH,jurisdiction-co-alma,NORMALIZED,Modeled as one aggregate four-seat office because persistent numbered trustee positions are not published.,NUMBER,4,The post-2026 Board contains four townwide Trustee seats.,seat_count,src-co-alma-elections,2026 Elections,office-co-alma-trustee,Office
asrt-co-alma-trustee-transition,CO-NORM-002,HIGH,jurisdiction-co-alma,NORMALIZED,Future staggering is not inferred from this transition.,TEXT,One 2-year Trustee position and three 4-year Trustee positions in 2026 transition,"The official 2026 Elections page reports Ian Green as Trustee (2 years) and Paul Greguoli, Cody Lefever, and Andrew Zimmerman as Trustees (4 years).",transition_term_rule,src-co-alma-elections,2026 Elections,office-co-alma-trustee,Office
asrt-co-alma-utilities-conflict,CO-NORM-002,HIGH,jurisdiction-co-alma,CONFLICT,Preserved as nonblocking KnownGap; no current Utilities Board membership count normalized.,TEXT,CONFLICT: code says seven Board-of-Trustees members; 2026 governing board has five total elected members,"Municipal Code section 2-7-20 retains a seven-member Utilities Board rule tied to the Board of Trustees, while the 2026 election reduced the governing board to Mayor plus four Trustees.",utilities_board_membership_rule,src-co-alma-boards-commissions-code,Code §2-7-20 + 2026 election,jurisdiction-co-alma,Body
