assertion_id,batch_id,confidence,jurisdiction_id,normalized_status,notes,object_type,object_value,observed_text,predicate,source_id,source_locator,subject_id,subject_type
asrt-co-alamosa-cycle-michael-carson,CO-NORM-002,HIGH,jurisdiction-co-alamosa,NORMALIZED,Exact selection/start/end dates left blank.,YEAR,2023,Official City 2023 oath/election records support Michael Carson's current at-large cycle.,election_cycle_year,src-co-alamosa-agenda-portal,2023 oath / agenda record,role-co-alamosa-at-large-michael-carson,RoleTerm
asrt-co-alamosa-cycle-ty-coleman,CO-NORM-002,HIGH,jurisdiction-co-alamosa,NORMALIZED,Exact selection/start/end dates left blank.,YEAR,2025,Official 2025 coordinated-election evidence supports the current Mayor cycle.,election_cycle_year,src-co-alamosa-county-elections,Alamosa County Coordinated 2025 Official,role-co-alamosa-mayor-ty-coleman,RoleTerm
asrt-co-alamosa-governing-body,CO-NORM-002,HIGH,jurisdiction-co-alamosa,NORMALIZED,Normalized into 03_Body.,TEXT,Alamosa City Council,The Home Rule Charter establishes the City Council as the municipal governing body.,governing_body,src-co-alamosa-municipal-code,Charter Article III,body-co-alamosa-city-council,Body
asrt-co-alamosa-holder-dawn-krebs,CO-NORM-002,HIGH,jurisdiction-co-alamosa,NORMALIZED,Current holder normalized.,ID,office-co-alamosa-council-ward-2,Current roster plus official 2025 election evidence supports Dawn Krebs for Ward 2.,current_office,src-co-alamosa-county-elections,2025 official municipal election / current roster,person-co-alamosa-dawn-krebs,Person
asrt-co-alamosa-holder-jackie-vigil,CO-NORM-002,HIGH,jurisdiction-co-alamosa,NORMALIZED,Current holder normalized.,ID,office-co-alamosa-council-ward-3,Official City oath/election records and the current roster support Jackie Vigil for Ward 3.,current_office,src-co-alamosa-agenda-portal,2023 oath / current roster,person-co-alamosa-jackie-vigil,Person
asrt-co-alamosa-holder-jan-vigil,CO-NORM-002,HIGH,jurisdiction-co-alamosa,NORMALIZED,Current holder normalized without numbered at-large seat identity.,ID,office-co-alamosa-council-at-large,Current roster plus official 2025 election evidence supports Jan Vigil as an at-large Councilmember.,current_office,src-co-alamosa-county-elections,2025 official municipal election / current roster,person-co-alamosa-jan-vigil,Person
asrt-co-alamosa-holder-liz-hensley,CO-NORM-002,HIGH,jurisdiction-co-alamosa,NORMALIZED,Current holder normalized.,ID,office-co-alamosa-council-ward-1,Official City oath/election records and the current roster support Liz Hensley for Ward 1.,current_office,src-co-alamosa-agenda-portal,2023 oath / current roster,person-co-alamosa-liz-hensley,Person
asrt-co-alamosa-holder-mark-martinez,CO-NORM-002,HIGH,jurisdiction-co-alamosa,NORMALIZED,Current holder normalized.,ID,office-co-alamosa-council-ward-4,Current roster plus official 2025 election evidence supports Mark Martinez for Ward 4.,current_office,src-co-alamosa-county-elections,2025 official municipal election / current roster,person-co-alamosa-mark-martinez,Person
asrt-co-alamosa-holder-michael-carson,CO-NORM-002,HIGH,jurisdiction-co-alamosa,NORMALIZED,Current holder normalized without numbered at-large seat identity.,ID,office-co-alamosa-council-at-large,Official City oath/election records and the current roster support Michael Carson as Councilor at Large.,current_office,src-co-alamosa-agenda-portal,2023 oath / current roster,person-co-alamosa-michael-carson,Person
asrt-co-alamosa-holder-ty-coleman,CO-NORM-002,HIGH,jurisdiction-co-alamosa,NORMALIZED,Current holder normalized.,ID,office-co-alamosa-mayor,Current Council portal lists Ty Coleman as Mayor.,current_office,src-co-alamosa-current-council-roster,City Council Current Members,person-co-alamosa-ty-coleman,Person
asrt-co-alamosa-mayor-at-large,CO-NORM-002,HIGH,jurisdiction-co-alamosa,NORMALIZED,Normalized into Mayor office.,TEXT,CITYWIDE,The Mayor is elected at large.,constituency,src-co-alamosa-municipal-code,Charter Article III,office-co-alamosa-mayor,Office
asrt-co-alamosa-term-length,CO-NORM-002,HIGH,jurisdiction-co-alamosa,NORMALIZED,Exact current term dates are not inferred.,NUMBER,4,Mayor and Councilmember terms are four years.,term_length_years,src-co-alamosa-municipal-code,Charter Article III,body-co-alamosa-city-council,Body
asrt-co-alamosa-vacancy-rule,CO-NORM-002,HIGH,jurisdiction-co-alamosa,NORMALIZED,Rule only; no current vacancy asserted.,TEXT,Council appointment until next regular election; successor elected for unexpired term,"Council fills a vacancy until the next regular election, when the remaining unexpired term is filled by election.",vacancy_rule,src-co-alamosa-municipal-code,Charter vacancy provision,body-co-alamosa-city-council,Body
asrt-co-alamosa-ward-keys,CO-NORM-002,HIGH,jurisdiction-co-alamosa,NORMALIZED,Normalized into division and identifier records.,TEXT,1;2;3;4,The official City of Alamosa Wards map publishes Wards 1 through 4.,representation_keys,src-co-alamosa-county-elections,City of Alamosa Wards (PDF),jurisdiction-co-alamosa,Jurisdiction
asrt-co-alamosa-ward1-seat,CO-NORM-002,HIGH,jurisdiction-co-alamosa,NORMALIZED,Ward key normalized; district address PIP is not asserted.,TEXT,1,The City uses Ward 1 as an official Council representation division.,ward_number,src-co-alamosa-county-elections,City of Alamosa Wards,office-co-alamosa-council-ward-1,Office
asrt-co-alamosa-ward2-seat,CO-NORM-002,HIGH,jurisdiction-co-alamosa,NORMALIZED,Ward key normalized; district address PIP is not asserted.,TEXT,2,The City uses Ward 2 as an official Council representation division.,ward_number,src-co-alamosa-county-elections,City of Alamosa Wards,office-co-alamosa-council-ward-2,Office
asrt-co-alamosa-ward3-seat,CO-NORM-002,HIGH,jurisdiction-co-alamosa,NORMALIZED,Ward key normalized; district address PIP is not asserted.,TEXT,3,The City uses Ward 3 as an official Council representation division.,ward_number,src-co-alamosa-county-elections,City of Alamosa Wards,office-co-alamosa-council-ward-3,Office
asrt-co-alamosa-ward4-seat,CO-NORM-002,HIGH,jurisdiction-co-alamosa,NORMALIZED,Ward key normalized; district address PIP is not asserted.,TEXT,4,The City uses Ward 4 as an official Council representation division.,ward_number,src-co-alamosa-county-elections,City of Alamosa Wards,office-co-alamosa-council-ward-4,Office
